article_id,title,year,issue,volume,pdf_url
1183,抗高血压药物的再评价,1999,1,1,https://www.cadrj.com/CN/PDF/1183
1184,口服避孕药的严重不良反应问题,1999,1,1,https://www.cadrj.com/CN/PDF/1184
804,系列问答3—药物不良反应的发生率有多少？,1999,1,1,https://www.cadrj.com/CN/PDF/804
1185,芬氟拉明和右芬氟拉明的下市及其不良反应,1999,1,1,https://www.cadrj.com/CN/PDF/1185
2479,系列问答1—何为药物不良反应？,1999,1,1,https://www.cadrj.com/CN/PDF/2479
1186,非甾体抗炎药的不良反应,1999,1,1,https://www.cadrj.com/CN/PDF/1186
1187,利培酮致吞咽困难,1999,1,1,https://www.cadrj.com/CN/PDF/1187
1188,抗感染药物引起2273例不良反应的分析,1999,1,1,https://www.cadrj.com/CN/PDF/1188
1189,31例地高辛中毒血药浓度监测结果分析,1999,1,1,https://www.cadrj.com/CN/PDF/1189
1190,中药引起肝损害的调查分析,1999,1,1,https://www.cadrj.com/CN/PDF/1190
1196,大剂量甲氨蝶呤引起死亡,1999,1,1,https://www.cadrj.com/CN/PDF/1196
1191,糖皮质激素引致的严重不良反应——骨坏死,1999,1,1,https://www.cadrj.com/CN/PDF/1191
1192,双黄连针剂不良反应病例分析,1999,1,1,https://www.cadrj.com/CN/PDF/1192
1197,巴氯芬致尿毒症患者意识障碍,1999,1,1,https://www.cadrj.com/CN/PDF/1197
1193,药物不良反应报告评价之评价——因果评价在药物警戒中的作用与地位,1999,1,1,https://www.cadrj.com/CN/PDF/1193
803,系列问答2—药物不良反应如何分类？,1999,1,1,https://www.cadrj.com/CN/PDF/803
1194,医院开展药品不良反应监察工作探讨,1999,1,1,https://www.cadrj.com/CN/PDF/1194
1195,WHO国际药物监测合作计划发展概况,1999,1,1,https://www.cadrj.com/CN/PDF/1195
1198,巴氯芬引起中枢神经系统不良反应,1999,1,1,https://www.cadrj.com/CN/PDF/1198
1199,中毒性表皮坏死松解症11例分析,1999,1,1,https://www.cadrj.com/CN/PDF/1199
1200,奈替米星致肾损害2例,1999,1,1,https://www.cadrj.com/CN/PDF/1200
1201,辛伐他丁致药物性肌病,1999,1,1,https://www.cadrj.com/CN/PDF/1201
1202,注射用阿昔洛韦引起药物性水肿,1999,1,1,https://www.cadrj.com/CN/PDF/1202
1203,兰索拉唑引起关节疼痛及行走困难,1999,1,1,https://www.cadrj.com/CN/PDF/1203
1204,盐酸去甲万古霉素致红人综合征,1999,1,1,https://www.cadrj.com/CN/PDF/1204
1205,清开灵注射液致急性肾功能衰竭,1999,1,1,https://www.cadrj.com/CN/PDF/1205
1206,清开灵注射液致重症过敏性休克并多脏器功能衰竭,1999,1,1,https://www.cadrj.com/CN/PDF/1206
1207,布洛芬与甲状腺素相互作用引起高血压,1999,1,1,https://www.cadrj.com/CN/PDF/1207
1208,大剂量多潘立酮引起小儿锥体外系反应2例,1999,1,1,https://www.cadrj.com/CN/PDF/1208
1209,泛影葡胺造影剂引起黄疸,1999,1,1,https://www.cadrj.com/CN/PDF/1209
1210,西咪替丁致粒细胞减少,1999,1,1,https://www.cadrj.com/CN/PDF/1210
1211,西咪替丁致过敏性休克,1999,1,1,https://www.cadrj.com/CN/PDF/1211
1212,注射用β-七叶皂苷钠致水疱4例,1999,1,1,https://www.cadrj.com/CN/PDF/1212
1213,口服洛沙坦钾引起咳嗽,1999,1,1,https://www.cadrj.com/CN/PDF/1213
1734,美罗培南的的药理与临床评价,1999,1,1,https://www.cadrj.com/CN/PDF/1734
1735,新型血管紧张素Ⅱ受体拮抗剂——缬沙坦,1999,1,1,https://www.cadrj.com/CN/PDF/1735
74,益肤清致过敏性休克,1999,1,1,https://www.cadrj.com/CN/PDF/74
1214,流行性出血热疫苗致脱髓鞘脑病,1999,1,1,https://www.cadrj.com/CN/PDF/1214
1736,药物流行病学调查研究,1999,1,1,https://www.cadrj.com/CN/PDF/1736
805,《药物不良反应》投稿须知,1999,1,1,https://www.cadrj.com/CN/PDF/805
2453,全国《21世纪医院药学和药师的职责研讨班》、《药物评价专题讲座》和《药物经济学研究班》将开班,1999,1,1,https://www.cadrj.com/CN/PDF/2453
1737,药物不良反应监测研究的回顾与展望,1999,2,1,https://www.cadrj.com/CN/PDF/1737
2454,系列问答4—药物不良反应发生频率通常如何表示？,1999,2,1,https://www.cadrj.com/CN/PDF/2454
2455,系列问答5—副作用是否为不良反应的同义词？,1999,2,1,https://www.cadrj.com/CN/PDF/2455
1738,抗高血压药物再评价(Ⅱ),1999,2,1,https://www.cadrj.com/CN/PDF/1738
1739,普萘洛尔口服诱发肝性脑病,1999,2,1,https://www.cadrj.com/CN/PDF/1739
1740,苯二氮类药物的依赖性与安全应用,1999,2,1,https://www.cadrj.com/CN/PDF/1740
1741,中药安全性探讨,1999,2,1,https://www.cadrj.com/CN/PDF/1741
1742,清开灵注射液不良反应原因分析,1999,2,1,https://www.cadrj.com/CN/PDF/1742
1743,36例药物性肝炎的病因与临床表现,1999,2,1,https://www.cadrj.com/CN/PDF/1743
1744,药物导致血尿的文献方析,1999,2,1,https://www.cadrj.com/CN/PDF/1744
2456,系列问答6—何谓毒性反应？,1999,2,1,https://www.cadrj.com/CN/PDF/2456
1745,倍氯米松喃鼻引起鼻中隔穿孔临床分析,1999,2,1,https://www.cadrj.com/CN/PDF/1745
1746,肺结核化疗期间肝损害及其对策,1999,2,1,https://www.cadrj.com/CN/PDF/1746
1747,县(市)级医院开展ADR监测工作探讨,1999,2,1,https://www.cadrj.com/CN/PDF/1747
1748,我院ADR监察的实施与发展,1999,2,1,https://www.cadrj.com/CN/PDF/1748
1749,WHO第五届ADR及其监察培训班简介,1999,2,1,https://www.cadrj.com/CN/PDF/1749
1750,埃利斯宣言——促进药物安全信息的交流,1999,2,1,https://www.cadrj.com/CN/PDF/1750
1751,青霉素V钾片致过敏性休克死亡,1999,2,1,https://www.cadrj.com/CN/PDF/1751
1752,降纤酶致动脉栓塞5例,1999,2,1,https://www.cadrj.com/CN/PDF/1752
1753,解热镇痛片致急性呼吸衰竭,1999,2,1,https://www.cadrj.com/CN/PDF/1753
1754,芬必得致糖尿病患者低血糖昏迷,1999,2,1,https://www.cadrj.com/CN/PDF/1754
1755,氯氟平致肝功能异常,1999,2,1,https://www.cadrj.com/CN/PDF/1755
1756,氧氟沙星针剂致肌肉抽搐,1999,2,1,https://www.cadrj.com/CN/PDF/1756
1757,曲安奈德局部封闭致脂肪液化2例,1999,2,1,https://www.cadrj.com/CN/PDF/1757
1758,曲安奈德诱发急性闭角型青光眼发作,1999,2,1,https://www.cadrj.com/CN/PDF/1758
1759,地塞米松致药疹加重,1999,2,1,https://www.cadrj.com/CN/PDF/1759
