article_id,title,year,issue,volumn_page,pdf_url
858,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=858
859,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=859
860,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=860
861,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=861
862,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=862
863,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=863
864,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=864
865,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=865
866,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=866
867,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=867
868,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=868
869,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=869
870,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=870
871,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=871
872,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=872
873,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=873
874,PDF,2025,48,http://tjqk.magtech.com.cn/hzkj_yxb/CN/volumn/volumn_48.shtml,http://tjqk.magtech.com.cn/hzkj_yxb/CN/article/downloadArticleFile.do?attachType=PDF&id=874
