article_id,title,year,issue,volumn_page,pdf_url,doi
74010001,点青霉(Penicillium notatum)AS 3.3871葡萄糖氧化酶的研究,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010001?st=article_issue,
74010005,北京棒状杆菌AS1.299的营养缺陷型变异株生产赖氨酸的研究*,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010005?st=article_issue,
74010009,HU7251谷氨酸产生菌的筛选及发酵条件的初步试验,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010009?st=article_issue,
74010013,用砂土管法保存“九二○”菌种的实验*,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010013?st=article_issue,
74010015,红根草黄酮类的体外抑菌试验,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010015?st=article_issue,
74010018,洗衣粉S.S.琼脂培养基的初步应用报告,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010018?st=article_issue,
74010022,“九二○”在水稻、小麦生产上的应用,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010022?st=article_issue,
74010025,旱地施用“菌饼粉”效果好——“五四○六”不经堆制直接施用法,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010025?st=article_issue,
74010026,用麸曲代替白薯面制作酒母的试验,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010026?st=article_issue,
74010028,氨水代替尿素进行谷氨酸发酵的试验及其实际应用,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010028?st=article_issue,
74010029,免疫扩散和免疫电泳技术,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010029?st=article_issue,
74010037,放线菌及其应用,1974,1,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_1,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74010037?st=article_issue,
74020004,木霉纤维素酶糖化稻草的影响因素试验,1974,2,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_2,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74020004?st=article_issue,
74020008,一种产生纤维素酶菌种的筛选方法——染色滤纸条法,1974,2,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_2,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74020008?st=article_issue,
74020011,蔗髓发酵饲料,1974,2,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_2,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74020011?st=article_issue,
74020014,铜矿细菌法堆浸试验,1974,2,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_2,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74020014?st=article_issue,
74020018,“五四○六”菌肥在水稻上应用方法和效果,1974,2,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_2,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74020018?st=article_issue,
74020021,以白薯母为原料用生香酵母提高白酒质量试验,1974,2,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_2,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74020021?st=article_issue,
74020025,酵母菌,1974,2,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_2,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74020025?st=article_issue,
74020030,蛋白质的离子交换层析技术,1974,2,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_2,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74020030?st=article_issue,
74030001,劳动群众是科学技术的主人——深批林彪鼓吹“上智下愚”的唯心史观,1974,3,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_3,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74030001?st=article_issue,
74030004,维生素、氨基酸及重金属离子对北京棒状杆菌AS1.299产L-谷氨酸的影响,1974,3,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_3,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74030004?st=article_issue,
74030010,链激酶*产生菌的选育及其种子培养基,1974,3,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_3,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74030010?st=article_issue,
74030012,用麦秸培养木霉生产蛋白质饲料方法的试验,1974,3,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_3,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74030012?st=article_issue,
74030015,AS2.1207及Y-17石油蛋白对动物的安全性的初步试验,1974,3,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_3,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74030015?st=article_issue,
74030021,甘蔗废糖蜜发酵L-谷氨酸的试验,1974,3,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_3,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74030021?st=article_issue,
74030027,沼气池粪液中病原微生物生活力的实验观察,1974,3,https://wswxtb.ijournals.cn/wswxtbcn/article/issue/1974_1_3,https://wswxtb.ijournals.cn/wswxtbcn/article/pdf/74030027?st=article_issue,
