article_id,title,year,issue,volumn_page,pdf_url,doi
62030231,乙型脑炎病毒核酸(RNA)的研究I．从受染小白鼠脑组织提出有感染性的病毒核酸,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030231?st=article_issue,
62030236,乙型脑炎病毒核酸(RNA)的研究II．若干影响感染性病毒核酸的提取及其感染滴度的因素,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030236?st=article_issue,
62030244,乙型脑炎病毒核酸(RNA)的研究III．病毒核酸对鸡胚的感染性,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030244?st=article_issue,
62030251,流行性乙型脑炎病毒的变異II．不同毒株通过鸡胚组织培养后的毒力变異,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030251?st=article_issue,
62030260,流行性乙型脑炎病毒的变異III．通过地鼠腎细胞后对小白鼠及恒河猴的毒力和免疫力,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030260?st=article_issue,
62030270,狩猎库蚊及白纹伊蚊作为流行性乙型脑炎病毒储存宿主的研究,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030270?st=article_issue,
62030280,从广州市天然界蠛蠓分离流行性乙型脑炎病毒的试验,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030280?st=article_issue,
62030285,用螢光显微镜鉴别麻风杆菌和结核杆菌,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030285?st=article_issue,
62030288,胆固醇对结核菌、卡介苗和草分枝杆菌生长的影响,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030288?st=article_issue,
62030298,电离辐射对家免抗体形成的影响,1962,3,https://actamicro.ijournals.cn/actamicrocn/article/issue/1962_2_3,https://actamicro.ijournals.cn/actamicrocn/article/pdf/62030298?st=article_issue,
