article_id,title,year,issue,volume,pages,pdf_url,doi,volumn_page
b6a8bf2afc374990a14a5ac4c743f3ff,Beginning a new period celebrating the 60thanniversary of the journalScientia Sinica?(Science China),未知,1,53,,https://www.sciengine.com/doi/pdf/b6a8bf2afc374990a14a5ac4c743f3ff,10.1007/s11427-010-0033-4,https://www.sciengine.com/SCLS/issue/53/1
d42ee420781d4ab9b6b7554ec76ee649,Life Science: Innovation and prosperity—commemorating the 60thanniversary of the Chinese Academy of Sciences,未知,1,53,,https://www.sciengine.com/doi/pdf/d42ee420781d4ab9b6b7554ec76ee649,10.1007/s11427-010-0028-1,https://www.sciengine.com/SCLS/issue/53/1
2f49fb97d254403eacada196be8eaee5,A brief account on the study of the insulin crystal structure In retrospect: Forty years after the determination of insulin's crystal structure by Chinese scientists,未知,1,53,,https://www.sciengine.com/doi/pdf/2f49fb97d254403eacada196be8eaee5,10.1007/s11427-010-0019-2,https://www.sciengine.com/SCLS/issue/53/1
75bf0d8834c54decb812cf5b1a493944,The first protein ever synthesizedin vitro—a personal reminiscence of the total synthesis of crystalline insulin,未知,1,53,,https://www.sciengine.com/doi/pdf/75bf0d8834c54decb812cf5b1a493944,10.1007/s11427-010-0008-5,https://www.sciengine.com/SCLS/issue/53/1
9ab4a842a0444f128091c78931062108,The background of the total synthesis of yeast alanine transfer RNA,未知,1,53,,https://www.sciengine.com/doi/pdf/9ab4a842a0444f128091c78931062108,10.1007/s11427-010-0015-6,https://www.sciengine.com/SCLS/issue/53/1
e82919885757452296b2ed121065ccfb,Proteomics in China: Ready for prime time,未知,1,53,,https://www.sciengine.com/doi/pdf/e82919885757452296b2ed121065ccfb,10.1007/s11427-010-0027-2,https://www.sciengine.com/SCLS/issue/53/1
311908652ca5466daf6f4e2b7f8ca2ff,Regulation of Toll-like receptor signaling in innate immunity,未知,1,53,,https://www.sciengine.com/doi/pdf/311908652ca5466daf6f4e2b7f8ca2ff,10.1007/s11427-010-0011-x,https://www.sciengine.com/SCLS/issue/53/1
51bba5bc2f1f4372ab5067a6bed15b22,Next-generation sequencing technology: A technology review and future perspective,未知,1,53,,https://www.sciengine.com/doi/pdf/51bba5bc2f1f4372ab5067a6bed15b22,10.1007/s11427-010-0023-6,https://www.sciengine.com/SCLS/issue/53/1
988e51ad77694a398193178e75a5fb76,Intrinsically photosensitive retinal ganglion cells,未知,1,53,,https://www.sciengine.com/doi/pdf/988e51ad77694a398193178e75a5fb76,10.1007/s11427-010-0024-5,https://www.sciengine.com/SCLS/issue/53/1
fa3cff14a1f74f559216323008828343,Advanced oxidation protein products decrease expression of nephrin and podocin in podocytes via ROS-dependent activation of p38 MAPK,未知,1,53,,https://www.sciengine.com/doi/pdf/fa3cff14a1f74f559216323008828343,10.1007/s11427-010-0014-7,https://www.sciengine.com/SCLS/issue/53/1
a094ba27ae1f451aaf9a239c14c92a41,Interrogating a cell signalling network sensitively monitors cell fate transition during early differentiation of mouse embryonic stem cells,未知,1,53,,https://www.sciengine.com/doi/pdf/a094ba27ae1f451aaf9a239c14c92a41,10.1007/s11427-010-0010-y,https://www.sciengine.com/SCLS/issue/53/1
aed523c6fc6c401b962fa16d781114ae,Arsenic trioxide promotes mitochondrial DNA mutation and cell apoptosis in primary APL cells and NB4 cell lines,未知,1,53,,https://www.sciengine.com/doi/pdf/aed523c6fc6c401b962fa16d781114ae,10.1007/s11427-010-0004-9,https://www.sciengine.com/SCLS/issue/53/1
941c068b12084273bc59266c0e074fba,A “GC-rich” method for mammalian gene expression: A dominant role of non-coding DNA GC content in the regulation of mammalian gene expression,未知,1,53,,https://www.sciengine.com/doi/pdf/941c068b12084273bc59266c0e074fba,10.1007/s11427-010-0003-x,https://www.sciengine.com/SCLS/issue/53/1
2200c8284aab4f26b0f30b79487447e1,microRNA-181b targets MLK2 in HL-60 cells,未知,1,53,,https://www.sciengine.com/doi/pdf/2200c8284aab4f26b0f30b79487447e1,10.1007/s11427-010-0002-y,https://www.sciengine.com/SCLS/issue/53/1
6a84d0d5f256443d898e81796ccee6e5,"Sequencing, annotation and comparative analysis of nine BACs of the giant panda (Ailuropoda melanoleuca)",未知,1,53,,https://www.sciengine.com/doi/pdf/6a84d0d5f256443d898e81796ccee6e5,10.1007/s11427-010-0001-z,https://www.sciengine.com/SCLS/issue/53/1
d03cce487e304de6b64b5dbe166573af,A meta-analysis of oxidative stress markers in schizophrenia,未知,1,53,,https://www.sciengine.com/doi/pdf/d03cce487e304de6b64b5dbe166573af,10.1007/s11427-010-0013-8,https://www.sciengine.com/SCLS/issue/53/1
d8acc77825cf481888e817a9d8a855de,Chloride channel-dependent copper acquisition of laccase in the basidiomycetous fungusCryptococcus neoformans,未知,1,53,,https://www.sciengine.com/doi/pdf/d8acc77825cf481888e817a9d8a855de,10.1007/s11427-010-0021-8,https://www.sciengine.com/SCLS/issue/53/1
