article_id,title,author,year,issue,volume,pdf_url
2934,创刊寄语,,2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2934
2935,创刊词,,2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2935
2920,肝癌在中国,吴孟超,2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2920
2921,"""损伤控制""在非创伤腹部外科患者中的应用",黎介寿,2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2921
2922,辅助性肝移植的理论与实践,"周景师, 窦科峰",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2922
2923,精准肝脏分离技术在复杂肝脏切除术中的应用研究,"王东, 朱继业",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2923
2924,实时虚拟导航系统在肝细胞肝癌患者射频消融治疗中的应用价值,"李凯, 刘波, 曾庆劲, 苏中振, 邓美海, 郑荣琴",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2924
2925,成人活体肝移植供肝切取术麻醉管理的研究,"罗刚健, 甘小亮, 龚楚链, 黑子清",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2925
2926,腹腔镜下解剖性肝切除术治疗肝内胆管结石患者,"罗宏武, 黄湘俊, 黄飞舟, 刘浔阳",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2926
2927,肝细胞肝癌840例临床分析,"颜见, 姚志成, 钟跃思, 李明亮, 邓美海",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2927
2928,卵巢癌肝转移患者的手术疗效及影响预后因素分析,"徐丽南, 林楠, 徐冰南, 何科, 蔡坚, 刘波",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2928
2929,肝炎后肝硬化门静脉高压症患者附脐静脉开放的临床意义,"邝乃乐, 潘楚芝, 林楠, 潘卫东",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2929
2930,基质金属蛋白酶2和Ⅳ型胶原在肝细胞肝癌组织中的表达及意义,"王慧玲, 区应亮, 简志祥",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2930
2931,肿瘤干细胞表面标志物CD133在肝细胞肝癌组织中的表达及其与肝移植患者预后的关系,"曾宪成, 张彤, 傅斌生, 陈伟, 陈冠中, 李华, 张琪, 杨扬, 陈规划",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2931
2932,肝门部胆管癌患者手术切除的研究进展,"王宝财, 路旭, 梁德森",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2932
2933,劈离式肝移植供肝体外半肝分离的技术要点（附视频）,"彭承宏, 程坤",2012,01,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2933
2936,干细胞在肝移植中的应用现状及展望,"陈规划, 张琪",2012,02,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2936
2937,肝脏手术中出血的控制与处理,杨广顺,2012,02,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2937
2938,肝硬化门静脉高压症患者食管静脉曲张套扎术后复发再出血治疗方法的选择,"卢焕元, 黄飞舟, 聂晚频, 刘浔阳",2012,02,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2938
2939,肝移植治疗原发性胆汁性肝硬化临床疗效分析,"傅斌生, 汪根树, 李华, 张彤, 易述红, 张剑, 许赤, 杨扬, 陈规划",2012,02,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2939
2940,非手术治疗肝外伤68例临床分析,"邱云峰, 瞿敏, 杜其威, 任重, 董宝祥, 田发林, 涂志远",2012,02,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2940
2941,虚拟导航计划系统辅助肝细胞肝癌射频消融,"李凯, 刘波, 曾庆劲, 苏中振, 邓美海, 郑荣琴",2012,02,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2941
2942,单层连续缝合法行胰肠套入式端侧吻合在胰十二指肠切除术中的应用,"李捷, 冯留顺",2012,02,01,https://zhgzwkssxdzzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=2942
