article_id,year,issue_url,pdf_url
22744,2017,http://www.fyxzz.cn/CN/volumn/volumn_1514.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22744
22763,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22763
22764,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22764
22765,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22765
22766,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22766
22767,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22767
22768,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22768
22769,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22769
22770,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22770
22771,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22771
22772,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22772
22773,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22773
22774,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22774
22778,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22778
22779,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22779
22780,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22780
22781,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22781
22782,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22782
22783,2017,http://www.fyxzz.cn/CN/volumn/volumn_1515.shtml,http://www.fyxzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=22783
