article_id,title,authors,year,issue,volumn_page,pdf_url,doi
224,温故创新 任重道远,《中国现代神经疾病杂志》编辑委员会,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.001,10.3969/j.issn.1672-6731.2010.01.001
225,缺血性卒中病因学与发病机制研究的十年进展,王永亭，曾丽莉，吕海燕，袁法磊，谢博华，蔡蓓蓓，汤耀辉，管永靖，杨国源,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.002,10.3969/j.issn.1672-6731.2010.01.002
226,脑卒中治疗十年进展,侯秋慧，张苏明,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.003,10.3969/j.issn.1672-6731.2010.01.003
227,帕金森病发病机制与治疗研究十年进展,汪锡金，张煜，陈生弟,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.004,10.3969/j.issn.1672-6731.2010.01.004
228,阿尔茨海默病发病机制及治疗进展,贾建平，刘江红,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.005,10.3969/j.issn.1672-6731.2010.01.005
229,神经系统自身免疫性疾病发病机制与治疗研究进展,龙友明，胡学强,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.006,10.3969/j.issn.1672-6731.2010.01.006
230,癫痫药物治疗及发病机制研究：十年进展及展望,王学峰，王琳媛，彭希,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.007,10.3969/j.issn.1672-6731.2010.01.007
231,神经遗传性疾病的基因学研究十年进展,王柠，林宇，陈万金,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.008,10.3969/j.issn.1672-6731.2010.01.008
232,十年来我国临床神经电生理学研究进展：肌电图与脑诱发电位,崔丽英，刘明生,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.009,10.3969/j.issn.1672-6731.2010.01.009
233,原发性头痛的发病机制研究进展,万琪,2010,10(1),https://journal11.magtechjournal.com/cjcnn/CN/Y2010/V10/I1,https://journal11.magtechjournal.com/cjcnn/CN/PDF/10.3969/j.issn.1672-6731.2010.01.010,10.3969/j.issn.1672-6731.2010.01.010
