article_id,title,author,year,issue,volume,pdf_url
36621,乳腺癌根治术后乳房再造方法的选择,蒋宏传,2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36621
36622,乳腺癌骨转移综合治疗初探,"徐海滨, 胡祖健, 胡望华, 史红仙, 何俊玲, 黄建",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36622
36623,乳腺癌前哨淋巴结活检研究进展,王永胜,2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36623
36624,乳腺癌内分泌治疗的进展,"杨名添, 连臻强",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36624
36625,乳腺癌保乳术后背阔肌微肌瓣转移乳房整形,"刘鹏熙, 钟少文, 陈前军, 王一安, 赖熙雯, 林毅",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36625
36626,乳腺癌术后引流液细胞学检查的临床价值,"王毅本, 盛桦, 曾小兵, 吴驰",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36626
36627,常用乳腺影像诊断方法的比较研究,"黄焰, 尉承泽, 王刚乐, 边晨峰, 杨涛, 陆虹, 宋志武, 王勇",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36627
36628,全数字化乳腺X 线成像技术对乳腺癌及有关乳腺疾病诊断价值的临床评估,"李继光, 黎庶, 刘群, 赵婷婷",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36628
36629,Ⅰ、Ⅱ期乳癌132 例的治疗体会,"张炳先, 吴秀萍, 蔡明勇",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36629
36630,应用腹壁下动脉穿支皮瓣乳房再造的临床研究,"徐军, 晏晓青, 赵玉明, 王靖, 王翔, 王天峰, 谢云涛",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36630
36631,关于乳腺癌合理治疗的费用,"凡庆东, 姜军",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36631
36632,联合法观察前哨淋巴通道的临床研究,"王水, 刘晓安, 赵佳, 耿强, 刘力嘉",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36632
36633,RNAi 抑制hTERT 基因治疗乳腺癌的实验研究,"曾晓华, 刘长安, 邓建川",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36633
36634,植物雌激素与乳腺癌关系的研究进展,"陈治, 耿翠芝",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36634
36635,近红外线扫描配合手法触诊诊断乳腺癌66 例,郑彩英,2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36635
36636,类固醇受体辅活化因子家族与乳腺癌,"唐鹏, 姜军",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36636
36637,BCAR1/p130Cas 蛋白与乳腺癌抗雌激素药物耐药的相关研究,"路洪超, 耿翠芝",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36637
37404,托瑞米芬的安全性评估,"李文萍, 王颀",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37404
37405,中华医学会肿瘤学分会乳腺癌学组“2006 第四届乳腺癌重庆论坛”会议纪要,"姜军, 李波, 孙燕",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37405
37406,病理学分类的争议,"谢竞, 姜军",2007,01,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37406
36464,乳腺癌诊治进展,"张嘉庆, 程琳",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36464
36465,乳腺癌早期诊断的现状与挑战,"王颀, 陈中扬",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36465
36466,乳腺癌前哨淋巴结微小转移的检测与处理——2006年圣安东尼奥乳腺癌年会热点述评,王永胜,2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36466
36467,2007年NCCN 乳腺癌治疗指南述评,"杨名添, 连臻强",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36467
36468,核素法前哨淋巴通道的研究,"凌立君, 赵佳, 王水, 刘晓安",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36468
36469,乳管镜辅助乳管冲洗液薄层液基细胞学检查诊断乳头溢液的研究,"张安秦, 王颀, 张江宇, 许娟, 李文萍, 陈中扬, 杨剑敏, 朱彩霞, 施军涛, 翁秀琼",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36469
36470,腋窝微小淋巴结在乳腺癌分期中的作用,"贺青卿, 姜军, 杨新华, 范林军, 张毅, 郭美琴",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36470
36471,血管内皮标记物在乳腺癌演变中的表达及意义,"张江宇, 王颀, 朱彩霞, 李文萍, 张佳立, 陈中扬, 陈文静",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36471
36472,MMP-9 和CD4+/CD8+ 在乳腺癌淋巴结转移过程中的作用,"岳志强, 姜军, 范林军, 杨新华, 张毅",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36472
36473,一次性注射器在乳腺甲状腺外科手术后引流中的应用,"卓宏, 陈志美, 曾俊",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36473
36474,IL-1β 与肿瘤转移关系的研究进展,"崔力方, 陈凌, 付丽",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36474
36475,血清蛋白质组学在肿瘤研究中的现状及展望,"柴凡, 姜军",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36475
36476,乳腺肿块的超声诊断进展,郭燕丽,2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36476
36477,乳腺根治性活检术(附22 例26 次手术报告),"纪光伟, 黄安, 吴峰, 彭林, 徐毅, 张丽",2007,02,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=36477
37424,迎接乳腺疾病治疗的新时代,"孙燕, 姜军",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37424
37425,乳腺癌保乳术后放射治疗进展,"于金明, 李建彬",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37425
37426,国际早期乳腺癌研究进展：第10届圣·加仑乳腺癌会议报道,"张保宁, 王仲照",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37426
37427,病理诊断在乳腺癌保乳手术中的作用,"付丽, 郎荣刚",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37427
37428,PET/CT在乳腺癌临床诊治中的应用,黎海涛,2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37428
37429,腋窝淋巴结Castleman病1例,"邹霞, 贺青卿, 凡庆东, 张毅, 姜军",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37429
37430,乳腺癌术后Ⅰ期乳房再造（附150例报告）,"陈君雪, 张宏伟, 亓发芝, 杨为戈, 朱玮",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37430
37431,晚期乳腺癌术前区域性动脉灌注化疗后微血管密度及微淋巴管密度的变化,"马小军, 蒲永东, 何建苗, 赵秀坤",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37431
37432,乳腺癌保留乳房治疗远期疗效的研究,"王永胜, 孙敏, 刘岩松, 周正波, 李永清, 王磊, 刘雁冰, 李济宇, 赵桐, 陈鹏",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37432
37433,105例早期乳腺癌保乳手术临床疗效评价,"王东民, 叶京明, 刘荫华",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37433
37434,腔镜腋窝淋巴结清扫术与传统腋窝清扫术前后外周血潜伏肿瘤细胞的对比研究,"郭美琴, 姜军, 范林军, 杨新华",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37434
37435,触诊阴性乳腺微小病变定位活检术,"朱大江, 韦德湛, 高志云, 刘丹, 吴越, 梁颖, 陆秀英, 白立芳",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37435
37436,乳腺癌血清蛋白质芯片检测在预测乳腺癌预后中的应用,"王曦, 杨名添, 谢泽明, 唐军, 周中梅, 曾益新, 朱振宇",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37436
37437,乳腺浸润性导管癌中聚集素的表达及其与Bax的关系,"臧家兰, 李春红, 曹鸿雁, 蔡莉",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37437
37438,青春期乳腺巨大纤维腺瘤18例的诊治体会,"张晓辉, 孙强, 周易冬",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37438
37439,妊娠期乳腺癌,"钟颖, 孙强",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37439
37440,X线乳腺摄影术及计算机辅助检测技术在乳腺癌早期诊断中的应用进展,"蔡萍, 黄学全, 王健",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37440
37441,乳腺癌预后相关分子标记物的研究进展,"柴凡, 姜军, 范林军",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37441
37442,原发性乳腺癌水平Ⅰ与水平Ⅲ腋窝淋巴结清扫随机对照研究的10年随访结果,"谢竞, 姜军, 范林军",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37442
37443,美国癌症研究学会（AACR）介绍,"周艳, 姜军",2007,03,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37443
37444,粗针穿刺与乳腺癌局部复发的关系,"王玥, 施俊义",2007,04,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37444
37445,病理诊断在乳腺癌患者保留乳房手术中的作用,杨红鹰,2007,04,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37445
37446,乳腺骨肉瘤2 例,"雷秋模, 雷双根, 瞿伟, 王国明",2007,04,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37446
37447,放射治疗和不同手术方式对早期乳腺癌局部复发和远期生存的影响：有关乳腺癌随机试验综述的评论,"梁艳, 姜军, 范林军",2007,04,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37447
37448,社会心理因素对乳腺癌患者生存期的影响,"周艳, 姜军, 范林军",2007,04,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37448
37466,乳腺癌保留乳房术后放射治疗进展,"于金明, 张国丽",2007,05,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37466
37467,自体组织乳房再造手术方式的变迁,"乔群, 冯锐",2007,05,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37467
37468,Kodama 法改良根治术治疗进展期乳腺癌60 例分析,"赵宏耀, 侯志刚, 王兆升",2007,05,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37468
37469,乳腺癌前哨淋巴结微转移检测研究,"范蕾, 穆殿斌, 高彦, 仲伟霞, 王春建, 王永胜",2007,05,01,https://zhrxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=37469
